anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1427665-0;1427665;0;ANGELES DE MARIA;Pública de gestión directa;A3;Inicial - Cuna-Jardín;Inicial;74;40;34;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2024;1427715-0;1427715;0;VICENTE RASETTO;Privada;B0;Primaria;Primaria;100;37;63;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427723-0;1427723;0;VICENTE RASETTO;Privada;A2;Inicial - Jardín;Inicial;38;14;24;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427731-0;1427731;0;MANUEL COVEÑAS;Privada;F0;Secundaria;Secundaria;175;75;100;0;6;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427764-0;1427764;0;SAN NICOLAS SCHOOL;Privada;A2;Inicial - Jardín;Inicial;47;26;21;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427772-0;1427772;0;RAYITOS DE SOL;Privada;A2;Inicial - Jardín;Inicial;34;17;17;3;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427798-0;1427798;0;SAN NICOLAS SCHOOL;Privada;B0;Primaria;Primaria;84;53;31;1;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427806-0;1427806;0;TRILENIUM INTERNACIONAL;Privada;F0;Secundaria;Secundaria;250;114;136;0;0;JUNIN;HUANCAYO;SAN AGUSTIN;UGEL HUANCAYO;Urbana
2024;1427814-0;1427814;0;NIÑITA MARIA DE JESUS;Privada;A2;Inicial - Jardín;Inicial;33;18;15;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427830-0;1427830;0;CIENTIFICA;Privada;F0;Secundaria;Secundaria;1031;509;522;0;1;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427848-0;1427848;0;HARVARD;Privada;A2;Inicial - Jardín;Inicial;102;55;47;0;0;JUNIN;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Urbana
2024;1427863-0;1427863;0;PENTAGONO;Privada;A2;Inicial - Jardín;Inicial;18;7;11;0;0;JUNIN;HUANCAYO;CHILCA;UGEL HUANCAYO;Urbana
